Price,symbol,open,high,low,close,volume
Ticker,NVAX,NVAX,NVAX,NVAX,NVAX,NVAX
date,,,,,,
2021-07-26,NVAX,193.36000061035156,193.36000061035156,205.1199951171875,192.47999572753906,2735600
2021-07-27,NVAX,179.00999450683594,179.00999450683594,191.63999938964844,172.00999450683594,4297700
2021-07-28,NVAX,189.00999450683594,189.00999450683594,189.47999572753906,180.3699951171875,2669800
2021-07-29,NVAX,184.0,184.0,194.6999969482422,182.25,2414900
2021-07-30,NVAX,179.3300018310547,179.3300018310547,186.33999633789062,178.10000610351562,2197800
2021-08-02,NVAX,182.72000122070312,182.72000122070312,186.5,177.1699981689453,2743800
2021-08-03,NVAX,188.57000732421875,188.57000732421875,188.5800018310547,178.9499969482422,2347200
2021-08-04,NVAX,223.80999755859375,223.80999755859375,231.25,202.57000732421875,14529700
2021-08-05,NVAX,236.1999969482422,236.1999969482422,246.64999389648438,227.1999969482422,11068300
2021-08-06,NVAX,189.88999938964844,189.88999938964844,202.77000427246094,186.0500030517578,15243000
2021-08-09,NVAX,213.1300048828125,213.1300048828125,216.97999572753906,192.0,9553100
2021-08-10,NVAX,230.2100067138672,230.2100067138672,247.97999572753906,219.13999938964844,13459100
2021-08-11,NVAX,234.3000030517578,234.3000030517578,249.5,219.3000030517578,10883600
2021-08-12,NVAX,247.24000549316406,247.24000549316406,247.39999389648438,229.1199951171875,7472600
2021-08-13,NVAX,257.2699890136719,257.2699890136719,260.0,243.60000610351562,7093000
2021-08-16,NVAX,229.30999755859375,229.30999755859375,249.33999633789062,221.3300018310547,7798800
2021-08-17,NVAX,234.57000732421875,234.57000732421875,238.83999633789062,213.0,5187800
2021-08-18,NVAX,226.99000549316406,226.99000549316406,238.39999389648438,223.64999389648438,2815300
2021-08-19,NVAX,217.47000122070312,217.47000122070312,230.44000244140625,216.75,3135700
2021-08-20,NVAX,230.88999938964844,230.88999938964844,231.35000610351562,219.2100067138672,3969600
2021-08-23,NVAX,251.0,251.0,251.1300048828125,231.0800018310547,4831600
2021-08-24,NVAX,233.00999450683594,233.00999450683594,243.13999938964844,228.02000427246094,5823700
2021-08-25,NVAX,238.17999267578125,238.17999267578125,245.8699951171875,228.50999450683594,3747300
2021-08-26,NVAX,230.33999633789062,230.33999633789062,242.55999755859375,227.4499969482422,2697300
2021-08-27,NVAX,226.6699981689453,226.6699981689453,231.47000122070312,222.10000610351562,2903500
2021-08-30,NVAX,233.22999572753906,233.22999572753906,238.1999969482422,223.10000610351562,2685000
2021-08-31,NVAX,238.5399932861328,238.5399932861328,244.89999389648438,232.1999969482422,4076900
2021-09-01,NVAX,252.05999755859375,252.05999755859375,258.7699890136719,235.11000061035156,6124900
2021-09-02,NVAX,258.989990234375,258.989990234375,261.4800109863281,251.00999450683594,3349400
2021-09-03,NVAX,251.49000549316406,251.49000549316406,255.47999572753906,242.5500030517578,4316600
2021-09-07,NVAX,270.5799865722656,270.5799865722656,271.95001220703125,256.3999938964844,5983100
2021-09-08,NVAX,266.79998779296875,266.79998779296875,277.79998779296875,261.1499938964844,3754100
2021-09-09,NVAX,258.7699890136719,258.7699890136719,274.1000061035156,250.36000061035156,6733200
2021-09-10,NVAX,242.17999267578125,242.17999267578125,253.38999938964844,240.25,5195600
2021-09-13,NVAX,233.8300018310547,233.8300018310547,248.6699981689453,230.2100067138672,4006300
2021-09-14,NVAX,234.2899932861328,234.2899932861328,242.5,232.10000610351562,2790000
